Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment
202,1,44.9,1,1,1,111
232,1,99.9,1,1,2,112
128,1,124.9,2,1,2,212
121,1,53.9,2,1,1,211
206,1,21.99,1,1,1,111
105,1,110.0,2,1,2,212
207,1,49.0,1,1,1,111
146,1,24.99,2,1,1,211
166,1,55.0,1,1,1,111
145,1,31.0,2,1,1,211
194,1,30.1,1,1,1,111
232,1,27.99,1,1,1,111
238,1,15.9,1,1,1,111
121,1,135.0,2,1,3,213
81,1,110.32,3,1,2,312
43,1,84.99,3,1,2,312
93,1,189.9,2,1,3,213
48,1,89.9,3,1,2,312
167,1,34.9,1,1,1,111
192,1,89.99,1,1,2,112
33,1,288.0,3,1,3,313
91,2,1828.44,2,3,3,233
42,1,485.9,3,1,3,313
231,1,8.0,1,1,1,111
105,1,48.9,2,1,1,211
116,1,119.99,2,1,2,212
197,1,59.7,1,1,2,112
222,1,289.0,1,1,3,113
224,1,45.6,1,1,1,111
225,1,57.0,1,1,1,111
110,1,79.0,2,1,2,212
112,1,210.0,2,1,3,213
169,1,295.0,1,1,3,113
139,1,170.0,2,1,3,213
163,1,27.99,2,1,1,211
51,1,89.49,3,1,2,312
101,1,58.19,2,1,2,212
58,2,309.0,3,3,3,333
71,1,91.55,3,1,2,312
86,1,119.99,2,1,2,212
79,1,118.0,3,1,2,312
12,1,18.9,3,1,1,311
65,1,599.98,3,1,3,313
30,1,24.95,3,1,1,311
73,1,199.0,3,1,3,313
36,1,105.0,3,1,2,312
125,1,120.9,2,1,2,212
6,1,119.9,3,1,2,312
128,1,51.54,2,1,1,211
93,1,151.0,2,1,3,213
107,1,36.2,2,1,1,211
14,1,229.8,3,1,3,313
76,1,25.5,3,1,1,311
29,1,99.5,3,1,2,312
128,1,89.99,2,1,2,212
68,1,149.0,3,1,3,313
146,1,59.6,2,1,2,212
214,1,199.9,1,1,3,113
95,1,55.5,2,1,1,211
35,1,295.7,3,1,3,313
117,1,301.0,2,1,3,213
16,1,105.0,3,1,2,312
213,1,49.0,1,1,1,111
12,1,159.9,3,1,3,313
49,1,239.9,3,1,3,313
7,1,133.0,3,1,3,313
25,1,31.99,3,1,1,311
11,1,97.8,3,1,2,312
44,1,59.0,3,1,2,312
138,1,308.0,2,1,3,213
203,1,54.9,1,1,1,111
104,1,25.98,2,1,1,211
41,1,53.9,3,1,1,311
120,1,29.99,2,1,1,211
145,1,79.0,2,1,2,212
221,1,23.99,1,1,1,111
160,1,104.0,2,1,2,212
175,1,129.0,1,1,3,113
142,1,35.4,2,1,1,211
104,1,105.0,2,1,2,212
80,1,97.9,3,1,2,312
76,1,179.8,3,1,3,313
175,1,72.0,1,1,2,112
194,1,780.0,1,1,3,113
177,1,69.9,1,1,2,112
187,1,53.9,1,1,1,111
83,1,36.5,3,1,1,311
41,1,99.8,3,1,2,312
226,1,234.9,1,1,3,113
177,1,119.8,1,1,2,112
155,1,245.0,2,1,3,213
209,1,180.0,1,1,3,113
122,1,96.9,2,1,2,212
184,1,176.99,1,1,3,113
157,1,295.0,2,1,3,213
60,1,159.0,3,1,3,313
115,1,150.0,2,1,3,213
7,1,32.0,3,1,1,311
73,1,99.99,3,1,2,312
97,1,95.0,2,1,2,212
125,1,39.9,2,1,1,211
14,1,197.70000000000002,3,1,3,313
43,1,49.9,3,1,1,311
26,1,359.65,3,1,3,313
60,1,27.99,3,1,1,311
156,1,469.0,2,1,3,213
85,1,199.9,2,1,3,213
48,1,430.3,3,1,3,313
204,1,109.9,1,1,2,112
50,1,99.18,3,1,2,312
108,1,139.99,2,1,3,213
78,1,144.0,3,1,3,313
188,1,75.0,1,1,2,112
141,1,49.9,2,1,1,211
224,1,29.5,1,1,1,111
82,1,75.0,3,1,2,312
117,1,52.0,2,1,1,211
29,1,228.0,3,1,3,313
218,1,13.65,1,1,1,111
202,1,29.9,1,1,1,111
157,1,8.99,2,1,1,211
182,1,174.0,1,1,3,113
38,1,24.99,3,1,1,311
155,1,165.48,2,1,3,213
123,1,379.9,2,1,3,213
70,1,149.0,3,1,3,313
183,1,535.9,1,1,3,113
57,1,152.0,3,1,3,313
84,1,55.0,2,1,1,211
121,1,79.9,2,1,2,212
55,1,50.0,3,1,1,311
104,1,330.0,2,1,3,213
209,1,53.99,1,1,1,111
148,1,117.7,2,1,2,212
177,1,79.9,1,1,2,112
218,1,168.99,1,1,3,113
72,1,329.9,3,1,3,313
211,1,89.99,1,1,2,112
178,1,239.9,1,1,3,113
127,1,37.99,2,1,1,211
42,2,191.99,3,3,3,333
166,1,194.9,1,1,3,113
231,1,71.8,1,1,2,112
213,1,29.0,1,1,1,111
